Time_ms,Force_kg
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,-0.0654
2,-0.0811
15,-0.0792
28,-0.0886
40,-0.0809
53,-0.0762
66,-0.0549
79,-0.0809
92,-0.0606
105,-0.0333
118,-0.0532
131,-0.0755
143,-0.1062
156,-0.0657
169,-0.0701
182,-0.0627
195,-0.0682
208,-0.0491
221,-0.0400
234,-0.0477
246,-0.0603
259,-0.0855
272,-0.0648
285,-0.0632
298,-0.0736
311,-0.0886
324,-0.0588
337,-0.0591
349,-0.0832
362,-0.0900
375,-0.0852
388,-0.0797
401,-0.0832
414,-0.0783
427,-0.0711
440,-0.0811
452,-0.0613
465,-0.0604
478,-0.0769
491,-0.0838
504,-0.0933
517,-0.0768
530,-0.0834
543,-0.1010
555,-0.1000
568,-0.0934
581,-0.0810
594,-0.0605
607,-0.0691
620,-0.0820
633,-0.0876
646,-0.0807
659,-0.0696
671,-0.0516
684,-0.0368
697,-0.0439
710,-0.0645
723,-0.0892
736,-0.0941
749,-0.1054
762,-0.0962
774,-0.0562
787,-0.0883
800,-0.0941
813,-0.0890
826,-0.0722
839,-0.0774
852,-0.0957
865,-0.0854
877,-0.0884
890,-0.0517
903,-0.0533
916,-0.0938
929,-0.1002
942,-0.0967
955,-0.1013
968,-0.0876
980,-0.0704
993,-0.0663
1006,-0.0568
1019,-0.0783
1032,-0.0811
1045,-0.0976
1058,-0.0974
1071,-0.0967
1083,-0.0806
1096,-0.0687
1109,-0.0663
1122,-0.1029
1135,-0.0764
1148,-0.0768
1161,-0.0834
1174,-0.0886
1187,-0.0945
1199,-0.0735
1212,-0.0768
1225,-0.0553
1238,-0.0613
1251,-0.0678
1264,-0.0520
1277,-0.0814
1290,-0.1177
1302,-0.0797
1315,-0.0986
1328,-0.0940
1341,-0.0879
1354,-0.0847
1367,-0.0792
1380,-0.0823
1393,-0.0827
1405,-0.0713
1418,-0.0872
1431,-0.0972
1444,-0.0871
1457,-0.0832
1470,-0.0699
1483,-0.0735
1496,-0.0862
1508,-0.0774
1521,-0.0747
1534,-0.0902
1547,-0.0762
1560,-0.0886
1573,-0.0972
1586,-0.0706
1599,-0.0595
1611,-0.0651
1624,-0.0866
1637,-0.0768
1650,-0.0930
1663,-0.0995
1676,-0.0655
1689,-0.0709
1702,-0.0769
1714,-0.0692
1727,-0.0536
1740,-0.0818
1753,-0.0847
1766,-0.0597
1779,-0.0649
1792,-0.0787
1805,-0.0868
1817,-0.0709
1830,-0.0656
1843,-0.0596
1856,-0.0522
1869,-0.0768
1882,-0.0771
1895,-0.0324
1908,-0.0456
1920,-0.0418
1933,-0.0633
1946,-0.0702
1959,-0.0558
1972,-0.0709
1985,-0.0658
1998,-0.0489
2011,-0.0281
2023,-0.0171
2036,-0.0369
2049,-0.0192
2062,-0.0137
2075,-0.0306
2088,-0.0693
2101,-0.0482
2114,-0.0030
2126,0.0090
2139,0.0200
2152,-0.0131
2165,-0.0183
2178,0.0068
2191,0.0312
2204,0.0485
2217,0.0328
2229,0.0386
2242,0.0338
2255,0.0436
2268,0.0468
2281,0.0276
2294,0.0245
2307,0.0486
2320,0.0726
2332,0.0732
2345,0.0810
2358,0.0905
2371,0.0957
2384,0.1181
2397,0.1335
2410,0.1359
2423,0.1453
2435,0.1313
2448,0.1732
2461,0.2037
2474,0.1533
2487,0.1030
2500,0.2112
2513,0.2515
2525,0.2986
2538,0.3280
2551,0.3897
2564,0.3665
2577,0.3548
2590,0.4633
2603,0.5227
2616,0.5630
2628,0.6084
2641,0.6445
2654,0.6755
2667,0.7529
2680,0.8244
2693,0.9091
2706,0.9218
2719,0.9513
2731,1.0404
2744,1.1180
2757,1.1827
2770,1.2437
2783,1.2796
2796,1.3663
2809,1.4735
2822,1.5409
2834,1.6536
2847,1.7433
2860,1.9070
2873,2.0766
2886,2.2238
2899,2.4502
2912,2.5848
2925,2.4984
2937,2.5504
2950,2.7069
2963,2.9139
2976,3.0817
2989,3.3257
3002,3.7078
3015,4.1918
3028,4.7879
3040,5.4342
3053,6.0705
3066,6.6346
3079,7.3087
3092,8.0343
3105,8.7569
3118,9.3058
3131,10.0109
3143,10.9765
3156,11.7071
3169,12.4288
3182,13.1698
3195,14.1058
3208,15.1052
3221,16.0378
3234,17.3568
3246,18.2985
3259,19.4732
3272,20.5538
3285,21.7661
3298,22.8528
3311,23.6602
3324,25.0139
3337,25.5410
3349,26.1841
3362,26.9638
3375,27.2325
3388,27.7908
3401,28.4092
3414,28.7280
3427,29.0949
3440,29.4906
3452,29.6768
3465,30.1478
3478,30.4040
3491,30.2524
3504,30.4648
3517,30.5456
3530,30.6370
3543,31.0318
3555,31.3796
3568,31.3957
3581,31.5120
3594,31.5346
3607,31.6677
3620,32.0072
3633,32.3473
3646,32.4550
3658,32.5502
3671,32.6554
3684,32.6260
3697,32.4664
3710,32.7096
3723,32.8146
3736,33.1576
3749,33.2043
3761,33.1949
3774,33.6057
3787,33.9125
3800,34.2553
3813,34.3041
3826,34.0450
3839,34.1325
3852,34.8789
3864,35.1213
3877,34.9624
3890,34.8107
3903,34.6859
3916,35.3121
3929,35.9471
3942,36.1127
3955,36.2879
3967,36.0458
3980,36.0017
3993,36.2154
4006,36.1964
4019,37.0804
4032,37.2573
4045,36.9638
4058,37.1354
4070,37.1991
4083,37.4769
4096,37.4158
4109,37.5783
4122,38.0139
4135,37.9751
4148,38.0689
4161,38.4075
4173,38.4930
4186,38.4795
4199,38.2942
4212,38.3769
4225,38.6577
4238,38.8069
4251,38.2892
4264,37.9913
4276,38.1606
4289,38.6001
4302,38.9271
4315,38.1436
4328,38.0211
4341,37.8786
4354,37.9368
4367,38.2906
4379,38.1223
4392,37.7464
4405,37.1973
4418,37.0556
4431,37.5932
4444,37.4747
4457,37.1494
4470,36.7062
4482,36.4012
4495,36.6745
4508,36.7683
4521,36.0164
4534,35.6379
4547,35.4301
4560,34.8440
4573,34.4554
4585,34.7227
4598,34.7317
4611,34.3948
4624,33.8837
4637,33.4699
4650,32.8508
4663,32.3417
4676,32.4975
4688,32.3616
4701,31.8206
4714,31.9323
4727,31.4802
4740,30.8642
4753,30.5113
4766,30.0980
4779,30.0002
4791,29.9943
4804,29.3659
4817,29.3145
4830,29.2807
4843,28.7143
4856,28.2041
4869,27.9564
4882,27.8443
4894,27.4978
4907,27.2687
4920,26.8101
4933,26.4013
4946,26.3802
4959,26.4111
4972,25.8319
4985,25.6727
4997,25.8456
5010,25.5476
5023,25.0857
5036,24.7463
5049,24.6646
5062,24.4925
5075,24.0906
5088,23.8835
5100,23.4482
5113,22.9886
5126,22.5931
5139,22.4646
5152,22.4194
5165,22.2765
5178,22.0100
5191,21.7293
5203,21.5613
5216,21.3666
5229,20.9612
5242,20.8464
5255,20.9887
5268,20.8142
5281,20.3393
5294,19.8617
5306,19.7439
5319,19.6340
5332,19.2768
5345,18.9569
5358,18.7633
5371,18.5840
5384,18.4675
5397,18.2784
5409,17.9434
5422,17.5345
5435,17.1452
5448,16.9021
5461,16.8109
5474,16.5654
5487,16.5257
5500,16.4009
5513,15.9968
5525,15.6301
5538,15.4349
5551,15.2876
5564,15.1328
